name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Junker,junker,,,,,,,,TRUE,,0,0,0,0,data.hullmods.junker,"This type of ship is well reknowned for being made up of several vaguely connected modules that is just as easy to reconstruct as it is to break apart. Further, on putting back together, the modules can be put together in more efficient ways. Consequently, with %s, there is a corresponding %s and a %s. However, with increasing damage there is a loss of integrity to fighter manufactories, decreasing %s. Incompatible with %s, and installing %s results in significantly increased chance of malfunctions, and %s weapon and engine repair time.","This ship is a ""Junker"", a ship well reknowned for being a ship made up of several vaguely connected modules that is just as easy to reconstruct as it is to break apart. Further, on putting back together, the modules can be put together in more efficient ways. ",graphics/hullmods/junk.png
Rapid Repair System,rapidrepaircheck,,,,,,,,TRUE,,0,0,0,0,data.hullmods.RapidRepairCheck,"Shieldess ships are incredibly vulnerable to crippling EMP attacks to their weapons and engines. To compensate for this, Junker hulls have widespread underlying damage control infrastructure throughout the hull which would otherwise be occupied by shield generators. Junker weapons and engines repair %s faster and take %s less damage.

%s, as the underlying infrastructure needs to be changed to accomodate the shield projectors.","This ship is a ""Junker"", a ship well reknowned for being a ship made up of several vaguely connected modules that is just as easy to reconstruct as it is to break apart. Further, on putting back together, the modules can be put together in more efficient ways. ",graphics/hullmods/rapidrepair.png
Damaged,junk1,,,,,,,,TRUE,,-2,-5,-10,-20,data.hullmods.junk1,"Having suffered some damage, new modules have been added amongst the scars of battle. Adds %s Ordinance Points depending on hull size, reduces repair costs by %s, and the ship's fighters take %s more damage and deal %s less damage.","Having suffered some damage, new modules have been added amongst the scars of battle.",graphics/hullmods/junk1.png
Badly Damaged,junk2,,,,,,,,TRUE,,-4,-10,-20,-40,data.hullmods.junk2,"This ship has taken a hell of a beating, but some of the ship has become increasingly cutomized. Adds %s Ordinance Points depending on hull size, reduces repair costs by %s, and the ship's fighters take %s more damage, deal %s less damage and their engagement range is reduced by %s.","This ship has taken a hell of a beating, but some of the ship has become increasingly cutomized.",graphics/hullmods/junk2.png
That's a Lot of Damage,junk3,,,,,,,,TRUE,,-6,-15,-30,-60,data.hullmods.junk3,"Something of a zombie ship, not much of the trash from before exists, instead better, more functional parts have been crudely added. Adds %s Ordinance Points depending on hull size, reduces repair costs by %s, and the ship's fighters take %s more damage, deal %s less damage and their engagement range is reduced by %s.","Something of a zombie ship, not much of the trash from before exists, instead better, more functional parts have been crudely added.",graphics/hullmods/junk3.png
Not Even Salvageable,junk4,,,,,,,,TRUE,,-12,-30,-50,-90,data.hullmods.junk4,"This ship is little more a floating collection of upgrades stuck vaguely together in the form of a ship, than an actual ship. Adds %s Ordinance Points depending on hull size, reduces repair costs by %s, and the ship's fighters take %s more damage, deal %s less damage and their engagement range is reduced by %s.","This ship is little more a floating collection of upgrades stuck vaguely together in the form of a ship, than an actual ship.",graphics/hullmods/junk4.png
,,,,,,,,,,,,,,,,,,
Techmined Hull,HMI_techminedhull,,,,,,,,TRUE,,0,0,0,0,data.hullmods.TechminedHull,"Based on a semi-complete, incredibly advanced design discovered by Hazard Mining Incorporated, this vessel has fundamental problems in its construction as a product of lacking sophisticated manufacturing techniques and a more complete blueprint. This vessel suffers from a %s increase in CR degradation past its peak time, ship repairs take %s longer outside of combat, and the ship takes an additional %s damage from hyperspace storms, coronas and event horizons.","This ship suffers from problems which makes CR degrade faster, recover CR and repair slower, and take more damage due to terrain effects.",graphics/hullmods/delicate_machinery.png
Reinforced Weapon Chassis,hmi_barber_reinforcement,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HMI_DrillArmour,The modifications to the Barber's chassis include a considerable amount of alteration to the vessels armour and weapon's mechanisms to ensure that space dust and asteroid impacts do not compromise long-term maintenance of the vessel. Weapon health increased by %s.,The Barber's weapons are incredibly resilient.,graphics/hullmods/detach_never.png
HULLMOD CONFLICT,IncompatibleHullmodWarning,,,,,,,,TRUE,,0,0,0,0,data.hullmods.IncompatibleHullmodWarning,"%s, the hullmod you tried to install conflicts with this hull or another previously installed hullmod.","%s, the hullmod you tried to install conflicts with this hull or another previously installed hullmod.",graphics/icons/intel/investigation.png
Linked Hull,hmi_linkedhull,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.HMI_LinkedHull,Mirrors certain aspects between the parent and child hulls.,,graphics/hullmods/vast_bulk.png
Improvised Station Hull,hmi_stationhull,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HMI_StationHull,"This vessel was originally designed for geosynchronous orbit, not for interstellar travel. The alterations to ensure this ship is able to move between stars involved a fair amount of jury-rigging and dangerous improvisation. A large amount of the alterations were dedicated to ensuring the ex-station can withstand the forces of the engines without crumpling in on itself. This has had the unfortunate impact of dedicating the power systems from the shields to the engines, while the engines themselves are difficult to apply additional modification to. Integrating a %s will %s. Applying a %s will result in %s. Equipping %s will reduce range by an additional %s.

The large bulk of the station, combined with the inefficient engines, increases sensor profile by %s.",Increases sensor strength and profile.,graphics/hullmods/vast_bulk.png
Conjugated Accuracy Computer,conjugatedaccuracycomputer,,,,,,,,TRUE,,15,30,45,60,data.hullmods.ConjugatedAccuracyComputer,"Integrates a large, complex targeting computer into the ship. While this increases the weapon range of ballistic and energy weapons by %s, the ship becomes comprimised in several respects. The speed and maneuverability is inhibited by %s/%s/%s/%s depending on hull size due to the bulk of the assembly. Further, passive venting reduced by %s  to prevent the computer being damaged by wild swings in the ship energy systems. Finally, if overloaded, the computer will require a lengthy restart and reorientation sequence, increasing overload time by %s. Incompatible with Safety Overrides, Integrated Targeting Unit, Dedicated Targeting Core and Advanced Optics.","A large targeting computer that drastically increases range, but reduces speed, movement and venting.",graphics/hullmods/conjugate_computer.png
Supplementary Surveying Suite,hmi_improve_surveying_equipment,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ImprovedSurveyingEquipment,"Various technologies and equipment that increase the efficiency of the existing survey suite, reducing the cost of surveying by %s and %s, down to a minimum of 5 for each.",Reduces costs for surveying.,graphics/hullmods/axial_rotation.png
Fixed Frontal Shield,hmi_fixed_shield,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HMI_FixedShield,This ship's shields will always remain front facing. Blocks the installation of Omni Shield Hullmod.,This ship's shields will always remain front facing. Blocks the installation of Omni Shield Hullmod.,graphics/hullmods/front_shield_emitter.png
Dromedary Maintenance Efficiency,hmi_drom,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HMI_Dromedary,"The Dromedary is a ship well known for it's low supply cost, being legendary for its ease of use, ease of acquiring parts, and sheer resilience of the components once integrated. Supply cost reduced by %s.",Reduces maintenace cost.,graphics/hullmods/hmi_drom.png
Deep Dream Reconstruction,hmi_limina_reconstruction,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HMI_LiminaReconstructionStats,"This passive system %s. The amount %s by the system depends on the %s, with the rate of repair decreasing with decreasing flux level. The system causes the ship to vent %s faster during active venting.

While the ship itself is easily and readily maintained by the Deep Dream generators, the Dream Generators themselves are disproportionately difficult to maintain, requiring unique and intricate pieces and extensive work hours to maintain peak operation - and not have the ship possibly eat itself and the crew in Mess. Maintenance cost increased by %s.",This ship will repair hull on active venting.,graphics/hullmods/nanite_computer.png
,,,,,,,,,,,,,,,,,,
Ballistic Assault Suite,hammerhead_tt_hullmod,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HammerheadTTMod,"Various highly-tuned systems and efficient reloading mechanisms based on the existing weapon infrastructure improves the fire rate of ballistic weapons by %s. However, while the advanced firing mounts can fire some lighter projectiles further than anticipated, the rapid firing degrades the ability for the weapons to project long distance. The range of ballistic weapons is clamped to %s s.u.",Increases firing speed but cuts the range of ballistic weapons.,graphics/hullmods/ballistics_integration.png
Sustained Accelerator Mechanism,hammerhead_domres_hullmod,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HammerheadDomresMod,"Various refined systems and efficient reloading mechanisms built on top of existing weapon infrastracture improve ballistic weaponry, providing it with a %s increase to rate of fire.",Increases firing speed of ballistic weapons.,graphics/hullmods/domres.png
Defensive Targeting Computer,centurion_domres_hullmod,,,,,,,,TRUE,,0,0,0,0,data.hullmods.CenturionDomresMod,"This ship is equipped with an intergrated Domain-Era targeting system that improves range of ballistic weapons by %s, autofire accuracy by %s, and reduces weapon recoil by %s.",Increases range of ballistic and energy weapons.,graphics/hullmods/domres.png
Rapid Fighter Assembly,mora_domres_hullmod,,,,,,,,TRUE,,0,0,0,0,data.hullmods.MoraDomresMod,"Using Domain-Era fighter bay improvements, this vessel's nanoforges produce replacement fighters %s faster. Due to other improvements, fighter craft deployed by this ship are %s more durable and deal %s more damage.",Increases replacement rate and quality of fighters.,graphics/hullmods/domres.png
Aquila Assault Suite,eagle_domres_hullmod,,,,,,,,TRUE,,0,0,0,0,data.hullmods.EagleDomresMod,"Domain-Era refinement of this Eagle results in a %s increase to weapon durability, reduces weapon recoil by %s and lowers time to repair disabled weapons and engines by %s.","Various minor improvements to weapon health, repair rate and recoil.",graphics/hullmods/domres.png
,,,,,,,,,,,,,,,,,,
Safety Overrides (Fighter),hmi_safetyoverrides,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HMI_FighterSO,"Disabling safety protocols increases the fighter's top speed in combat and allows the zero-flux engine boost to take effect regardless of flux level. The flux dissipation rate, including that of additional vents, is increasd.
 Reduces the peak performance time, prevents the use of active venting, and drastically reduces weapon ranges past 450 units.","Drastic improvement in performance, much lower peak time.",graphics/hullmods/safety_overrides.png
Integrated Targeting Unit (Fighter),hmi_fighteritu,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HMI_FighterITU,Extends the range of ballistic and energy weapons by 40 percent.,"Increases weapon range, more so for larger ships.",graphics/hullmods/integrated_targeting_unit.png
Accelerated Acquisition Computator,hmi_aac,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HMI_AAC,"The existing infrastructure originally used by the Advanced Targeting Core is instead occupied by several low-grade AI cores working in tandem to make effective on the fly targeting solutions, and continous weapon management to maintain peak weapon function. Autoaim targeting is improved by %s, weapon turn rate is increased by %s, recoil reduced by %s and recoil decay improved by %s.","Improves weapon aim, and reduces recoil.",graphics/hullmods/axial_rotation.png
Subliminal Encouragement System,hmi_subliminal,4,0,Techmined Technology,"req_spaceport, special",Special,100000,,,,6,10,14,24,data.hullmods.HMISubliminalEncouragement,"Using forbidden and prototypical Tri-Tachyon technology, subliminal mind-control process are built into the ship's life support and communication systems and used to improve the combat readinesss of the crew by %s. However, the messaging can cause crew to act almost suicidally under combat situations to fulfil the subliminal orders, increasing combat readiness loss by a factor of %s past peak performance time. Installation of this system into the ship subsystems is incompatible with %s.","Increased CR, increases crew losses.",graphics/hullmods/advanced_targeting_core.png
Weapon Overhaul,hmi_moradebuff,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HMI_MoraDebuff,"In the course of changing the weapons to a more flexible layout, the fighter bays have become compromised. Fighter speed reduced by %s, and damage taken increased by %s.",Fighter Bays are Compromised,graphics/hullmods/converted_hangar.png
Hazard Mining Stop-Gaps,HMICommissionedCrews,,,Hazard Mining Incorporated,,,,FALSE,TRUE,,0,0,0,0,data.hullmods.HMICommissionedCrews,"Out beyond the Core Systems, engineers and crew have learned several alternatives to keep ships running without easy access to manufactories, as well as keeping themselves alive under often harsh management policies.

Supply and fuel usage is reduced by %s, repairs are performed %s cheaper, and crew loss from hull damage and fighter loss is reduced by %s.","Grants several small bonuses to cargo and fuel use, repair cost and crew survivability.",graphics/hullmods/HMI_comission.png
